,delta,theta,alpha,beta,gamma1,gamma2
52,0.304538010122677,0.23058512392706765,0.3532360884518669,0.08235356606804906,0.018131387119476025,0.011155825530806669
53,0.3146443436683064,0.2430181023940234,0.3288743381768885,0.08207001440541845,0.01889857006534724,0.012494632572880093
54,0.3337153325110306,0.22429689084306176,0.2681730040061621,0.07570355063603249,0.021281154297384215,0.01510166676921977
55,0.32993889848391217,0.2380492535599491,0.3132988674598828,0.0829380601644516,0.02132691629230976,0.014447998827355996
56,0.32025418660857463,0.24116841364990582,0.32009357539090244,0.084935504401272,0.020239034650677983,0.013309280244125562
57,0.3388395187182304,0.23809346709495935,0.3038238905943357,0.08192802354311332,0.02212528129800772,0.01518980774264305
58,,,,,,
59,0.31416470527648926,0.2402609618504842,0.32221002340316773,0.0872281367580096,0.021746802280346554,0.014389365799725056
60,0.3002410697631347,0.24765932384209755,0.33779440888991724,0.08705446693377616,0.016937580838417395,0.010313152908705749
61,0.2953240187307404,0.24434572555560016,0.3428476751874812,0.08992422520602282,0.017221457814586533,0.010336902270996078
62,0.2510429917205691,0.23722422052740427,0.37048844688849925,0.11264907619403919,0.01998563564299601,0.008609628290211032
63,0.24892832338809967,0.22600793254618742,0.3895298609928209,0.1080814429995965,0.018850748134510858,0.008601693744410057
64,0.2637118275121132,0.2433757906930047,0.3460304502004422,0.11993080840347717,0.019252061363749254,0.007699064355089057
65,0.2573943099667949,0.24763351154904212,0.3433725557980999,0.12104987083904205,0.02184659547863468,0.008703151107915948
66,0.2587473253050004,0.24022346232310834,0.3598399921114665,0.11442684798116186,0.01886501219348017,0.007897357346048677
67,0.2681629652754542,0.22424164738809094,0.38766750843045816,0.094245592747151,0.017028387018777964,0.008653898967394347
68,0.27151112457298054,0.24024240274860828,0.35093159714826067,0.11061752752368585,0.01809314064259285,0.008604208647632729
69,0.27779354961273856,0.24811400969823202,0.3255053637814482,0.11879038641001512,0.020040395471518563,0.009756294874727126
70,0.28047424035394375,0.24895857021309972,0.33179712165674613,0.10855106228641954,0.019509371962552497,0.01070963689339122
71,0.2827162044768286,0.238432154004084,0.3575201884354695,0.09548941505427408,0.016807010000811355,0.009035027868317275
72,0.2964197648583718,0.2525103712419294,0.3226028397960483,0.10069426697380138,0.01824625334087408,0.009526503007894135
73,0.2558715104504868,0.23238810582293404,0.37854073191130605,0.1056536824338966,0.01927520609288304,0.008270766598137993
74,0.26540932845530196,0.24827992792554837,0.3463829029445073,0.11195133884797744,0.020322343526436155,0.007654162047749114
75,0.2721725658458822,0.2234108882726927,0.3825214652584009,0.09463525277791719,0.01816850262318691,0.00909132240360404
