,delta_ratio_spin_r,delta_ratio_spin_p,delta_ratio_spin_p_adj,theta_ratio_spin_r,theta_ratio_spin_p,theta_ratio_spin_p_adj,alpha_ratio_spin_r,alpha_ratio_spin_p,alpha_ratio_spin_p_adj,beta_ratio_spin_r,beta_ratio_spin_p,beta_ratio_spin_p_adj,gamma1_ratio_spin_r,gamma1_ratio_spin_p,gamma1_ratio_spin_p_adj,gamma2_ratio_spin_r,gamma2_ratio_spin_p,gamma2_ratio_spin_p_adj
Pvalb_5,-0.6108537597470921,0.04795204795204795,1.0,-0.22735234997176643,0.6423576423576424,1.0,0.5274004167055077,0.2837162837162837,1.0,0.18503048108955272,0.7572427572427572,1.0,-0.5034876715801218,0.21478521478521478,1.0,-0.6922720505474416,0.011988011988011988,1.0
Sncg_1,0.5143865443615576,0.24575424575424576,1.0,0.5178587720748148,0.1928071928071928,1.0,-0.7605443258974077,0.029970029970029972,1.0,0.2132607323405047,0.7012987012987013,1.0,0.7100375626377812,0.023976023976023976,1.0,0.4502020052831395,0.3596403596403596,1.0
Sncg_2,0.576862375173078,0.14385614385614387,1.0,0.647020010359517,0.03396603396603397,1.0,-0.8098270177324225,0.002997002997002997,1.0,0.24229182771358393,0.6863136863136863,1.0,0.7207348228607302,0.012987012987012988,1.0,0.5042716602744766,0.2647352647352647,1.0
Sncg_3,0.05799413770214511,0.6993006993006993,1.0,-0.07652082308337291,0.6873126873126874,1.0,-0.16532686555674853,0.21678321678321677,1.0,-0.10587192434819202,0.4955044955044955,1.0,0.08066736075024888,0.5974025974025974,1.0,0.10970156465830917,0.45754245754245754,1.0
Sncg_4,0.5881129869610902,0.07992007992007992,1.0,0.07087728140396561,0.8911088911088911,1.0,-0.4979659434338375,0.3276723276723277,1.0,-0.5318740470887263,0.2827172827172827,1.0,0.327453385689994,0.5324675324675324,1.0,0.719989945398043,0.01098901098901099,1.0
Sst_1,-0.5732365045749342,0.07392607392607392,1.0,-0.47062330993586554,0.17882117882117882,1.0,0.6222672478774821,0.06793206793206794,1.0,-0.04524778740350484,0.9340659340659341,1.0,-0.5602122942735497,0.07692307692307693,1.0,-0.5762506590881217,0.07792207792207792,1.0
Sst_10,0.08250658245477367,0.8831168831168831,1.0,0.6147407278179327,0.061938061938061936,1.0,-0.32373054605780865,0.5644355644355644,1.0,0.5850610699741498,0.0999000999000999,1.0,0.3474941448936109,0.44955044955044954,1.0,-0.18239303770831275,0.7282717282717283,1.0
Sst_2,0.2513233144172592,0.2947052947052947,1.0,0.5149315494324698,0.022977022977022976,1.0,-0.3302525192162906,0.16883116883116883,1.0,0.3010553185078971,0.2137862137862138,1.0,0.2967754014778762,0.19880119880119881,1.0,0.14062871463407728,0.5874125874125874,1.0
Sst_3,0.41864814986053855,0.23576423576423577,1.0,0.5962639984580179,0.01998001998001998,1.0,-0.5838996345458768,0.058941058941058944,1.0,0.31802265874969177,0.4755244755244755,1.0,0.5429024151660464,0.06893106893106893,1.0,0.31616789553260105,0.4435564435564436,1.0
Sst_4,0.4058441436554281,0.48151848151848153,1.0,-0.20858079901636634,0.7382617382617382,1.0,-0.10745376414209662,0.8571428571428571,1.0,-0.6253853683035123,0.2097902097902098,1.0,0.060394403111974464,0.9210789210789211,1.0,0.6381101092935253,0.13886113886113885,1.0
Sst_5,-0.4604546330170497,0.44755244755244755,1.0,-0.7260598353834987,0.017982017982017984,1.0,0.8112290363341327,0.060939060939060936,1.0,-0.31162497617836626,0.6083916083916084,1.0,-0.6732515534537287,0.0989010989010989,1.0,-0.2097820773724816,0.7802197802197802,1.0
Sst_6,-0.28465861510006485,0.21678321678321677,1.0,-0.17930761013009325,0.4975024975024975,1.0,0.18145342689212976,0.5104895104895105,1.0,0.05316088081880431,0.8691308691308691,1.0,-0.19621036031227265,0.4165834165834166,1.0,-0.3313192551106064,0.12787212787212787,1.0
Sst_7,-0.15744389548655655,0.6643356643356644,1.0,-0.31504480553973935,0.26573426573426573,1.0,0.2432208257804809,0.5304695304695305,1.0,-0.266276227378094,0.4115884115884116,1.0,-0.3460416035826095,0.23276723276723277,1.0,0.0016811077641248468,0.993006993006993,1.0
Sst_8,-0.2908115412043365,0.16383616383616384,1.0,-0.028621910981980754,0.913086913086913,1.0,0.11423542418374134,0.6743256743256744,1.0,0.3505208009454208,0.06493506493506493,1.0,-0.08233703883279793,0.7342657342657343,1.0,-0.23765280790117985,0.23776223776223776,1.0
Sst_9,-0.14475424856800914,0.7042957042957043,1.0,-0.423405772553022,0.10789210789210789,1.0,0.4170421409109313,0.17282717282717283,1.0,-0.462149058090001,0.08191808191808192,1.0,-0.4452390095767493,0.07592407592407592,1.0,-0.11984693968244117,0.7572427572427572,1.0
VLMC_1,0.2210272798699543,0.2787212787212787,1.0,0.18721337602837845,0.3956043956043956,1.0,-0.2631401623582615,0.24375624375624375,1.0,0.059041437397129644,0.8331668331668332,1.0,0.2248248411911852,0.29270729270729273,1.0,0.17503647991224658,0.3876123876123876,1.0
Vip_1,0.4939060558816101,0.15584415584415584,1.0,0.642366882937636,0.022977022977022976,1.0,-0.665427335981835,0.02197802197802198,1.0,0.29222722941695717,0.5334665334665335,1.0,0.6200006856954711,0.03696303696303696,1.0,0.36505160661132147,0.38961038961038963,1.0
Vip_2,-0.3736031947385391,0.3256743256743257,1.0,-0.27604182453753945,0.46153846153846156,1.0,0.5151114381964417,0.16883116883116883,1.0,0.09043317272409736,0.8491508491508492,1.0,-0.4200327395842534,0.24375624375624375,1.0,-0.23073392165377551,0.5954045954045954,1.0
Vip_3,-0.7160954358821732,0.005994005994005994,1.0,-0.42343202263009017,0.33966033966033965,1.0,0.7705652613820025,0.008991008991008992,1.0,0.13029021510713884,0.8441558441558441,1.0,-0.6822099577738849,0.027972027972027972,1.0,-0.6977927363320191,0.015984015984015984,1.0
Vip_4,0.003023428591017299,0.996003996003996,1.0,-0.2074927469944184,0.6363636363636364,1.0,0.23040470424004555,0.6943056943056943,1.0,-0.21109829864999402,0.6833166833166833,1.0,-0.20233897776093138,0.6463536463536463,1.0,0.18378025462512732,0.7112887112887113,1.0
Vip_5,0.5178172557038945,0.1038961038961039,1.0,0.6069830415962484,0.01998001998001998,1.0,-0.6444633677503555,0.006993006993006993,1.0,0.23045656464653505,0.6413586413586414,1.0,0.6047315600290459,0.04095904095904096,1.0,0.4724289615425396,0.15584415584415584,1.0
Vip_6,0.40046001327179026,0.13886113886113885,1.0,0.4078049373943189,0.13786213786213786,1.0,-0.4167414437234863,0.12887112887112886,1.0,0.06862771541451773,0.8631368631368631,1.0,0.37907718147555053,0.15184815184815184,1.0,0.4362502351468865,0.07892107892107893,1.0
Vip_7,-0.3945178935053216,0.23976023976023977,1.0,-0.25590006179392694,0.46853146853146854,1.0,0.579789589474712,0.052947052947052944,1.0,0.11542555495251854,0.7922077922077922,1.0,-0.402508054685939,0.21578421578421578,1.0,-0.31919747900012624,0.4045954045954046,1.0
Vip_8,0.026016362818112038,0.954045954045954,1.0,-0.4769845162005409,0.11888111888111888,1.0,0.21552341158987282,0.6683316683316683,1.0,-0.6404851390420296,0.01098901098901099,1.0,-0.2178106314174228,0.6093906093906094,1.0,0.2094444069028734,0.6283716283716284,1.0
Vip_9,-0.2364537328994076,0.4755244755244755,1.0,0.17471099277727456,0.6063936063936064,1.0,0.17002524693347676,0.6923076923076923,1.0,0.5066720056638404,0.07092907092907093,1.0,-0.014211158817285307,0.9790209790209791,1.0,-0.2831505715021645,0.3956043956043956,1.0
