,Layer I,Layer II,Layer III,Layer IV,Layer V,Layer VI
177,0.12103992616328783,0.10439445289945883,0.26360336166840825,0.06447774557913782,0.19743913435544427,0.249045379334263
179,0.12829947144498222,0.10836746243929951,0.26697513195482114,0.059859635697979946,0.195341776668267,0.24115652179465033
181,0.11293419597595517,0.0917792239209864,0.2653380037132933,0.09733819544994893,0.1963406483541566,0.23626973258565956
183,0.1263317204596106,0.10362796937216993,0.27265307992207327,0.06301311591620096,0.19258537414705826,0.24178874018288693
185,0.12165957789858113,0.10235033428730368,0.2765285375613283,0.07054783018417922,0.19162121962561066,0.23729250044299707
187,0.13077061221050829,0.10417436097396623,0.2813551902098033,0.05655453187031436,0.1884106416801428,0.2387346630552651
189,0.11695655573016267,0.09594434512748488,0.25953107050952245,0.16821131563356737,0.16411108847294642,0.19524562452631616
191,0.12019170772457907,0.08751060408946251,0.23544866018963187,0.21869986950327178,0.14376931479248523,0.19437984370056946
193,0.11780751192669935,0.08341016169223332,0.24839400527192412,0.20772399008955925,0.15109744266442848,0.19156688835515548
195,0.12370498106751378,0.09539030731209813,0.2547302486438952,0.1465475984901131,0.17744732044487943,0.20217954404150026
197,0.12254420183180155,0.0876337975403404,0.24506159378089573,0.18801095625463185,0.15756881260362932,0.1991806379887012
199,0.11733374093433321,0.10444379156043919,0.29843610038786905,0.1013660046358683,0.18313505894156357,0.19528530353992668
201,0.11046130159506029,0.10418791126602484,0.28187881560837746,0.09458951990823673,0.1904201994011485,0.21846225222115218
203,0.12093455967844924,0.09712540595303576,0.28187282520329765,0.12907809894773187,0.1709344539233035,0.20005465629418206
205,0.1107678671888906,0.1042580792956407,0.28530780344442364,0.10277686302325871,0.18700288961809905,0.2098864974296872
207,0.11590195241074655,0.10473906863363981,0.2856874232897022,0.10221045274599054,0.18630987680537434,0.20515122611454653
209,0.10753907966339728,0.10427982140703024,0.2869914574452454,0.09557977428191791,0.19142514689544277,0.2141847203069664
