layer,layer_label,ctype,class,mean_abs_shap,mean_signed_shap,relative_contribution,n_roi,rank
l5,Layer V,L5 IT,Excitatory,0.002325259349498955,-0.0007353493932391476,0.028865628473840298,105,12
l5,Layer V,Lamp5,Inhibitory,0.0017492839401734577,0.0002213892476747991,0.021715504691200555,105,13
l5,Layer V,L6b,Excitatory,0.0016282266150973,-7.182106333552005e-06,0.020212706403156578,105,14
l5,Layer V,L5 ET,Excitatory,0.001615960416418019,0.0010092726553493625,0.02006043455703381,105,15
l5,Layer V,Astro,Non-neuron,0.0013664156633307913,-0.00030482809917103265,0.016962601133951656,105,16
l5,Layer V,Micro-PVM,Non-neuron,0.0011432482803900646,-0.00044091006993413436,0.01419221478335625,105,17
l5,Layer V,L6 IT Car3,Excitatory,0.0008991446672054759,-0.00016341325326317836,0.011161927340870889,105,18
l5,Layer V,Oligo,Non-neuron,0.000858264253480659,0.0003423774131211583,0.01065444036541083,105,19
l6,Layer VI,Micro-PVM,Non-neuron,0.006884961936070957,-0.0004387638607713419,0.12410703326640612,105,1
l6,Layer VI,Astro,Non-neuron,0.0067104982411859216,0.00020286631979252921,0.12096218340580785,105,2
l6,Layer VI,Lamp5_Lhx6,Inhibitory,0.005790331527658934,0.0005189647118325026,0.10437543071396893,105,3
l6,Layer VI,Lamp5,Inhibitory,0.005116766847859453,0.000512217777917288,0.09223388005629672,105,4
l6,Layer VI,L5 IT,Excitatory,0.004378599723261099,-0.00012224087897626316,0.07892781783847488,105,5
l6,Layer VI,L5 ET,Excitatory,0.004130953635287668,-0.00010409523566608944,0.07446379587818017,105,6
l6,Layer VI,L5/6 NP,Excitatory,0.0036269267936763004,-8.163749529250131e-06,0.06537830251164446,105,7
l6,Layer VI,L6 CT,Excitatory,0.0031499409053448143,-7.739384529430846e-05,0.056780244300077325,105,8
l6,Layer VI,Endo,Non-neuron,0.002565686671892507,1.930423247620381e-05,0.046248587006924094,105,9
l6,Layer VI,Chandelier,Inhibitory,0.0024657499867765196,-0.0002109469916249622,0.044447147054257896,105,10
l6,Layer VI,Pvalb,Inhibitory,0.001972926282748725,-0.0005040312911642269,0.03556359934576398,105,11
l6,Layer VI,L6 IT Car3,Excitatory,0.0019363166270841012,-0.0003402200478168919,0.03490368055527115,105,12
l6,Layer VI,Sst,Inhibitory,0.001864457990134683,0.0005752386251640384,0.03360837023559647,105,13
l6,Layer VI,L6b,Excitatory,0.001598962328575884,-0.00023586752440739916,0.028822595207772878,105,14
l6,Layer VI,OPC,Non-neuron,0.0012744172763158204,2.3390025157640637e-05,0.022972406932037417,105,15
l6,Layer VI,Oligo,Non-neuron,0.0010124116838226825,7.635031925800984e-05,0.018249543234974387,105,16
l6,Layer VI,L6 IT,Excitatory,0.0009960928201026731,0.00010779871752805734,0.017955382456545318,105,17
