layer,layer_label,fold,ctype,mean_abs_shap,relative_contribution
l5,Layer V,1,L6 CT,0.010723672005902383,0.1043146944442765
l5,Layer V,1,L6 IT,0.008326450549184485,0.0809956836021738
l5,Layer V,1,L6 IT Car3,0.0004869267244052321,0.004736587658138655
l5,Layer V,1,L6b,0.003018392827457949,0.02936146548829255
l5,Layer V,1,Lamp5,0.0022201453056779393,0.021596499693035957
l5,Layer V,1,Lamp5_Lhx6,0.0052502420378116674,0.05107181510506609
l5,Layer V,1,Micro-PVM,0.0012671181879704832,0.01232591285244215
l5,Layer V,1,OPC,0.004610727298880143,0.04485092504543585
l5,Layer V,1,Oligo,0.0010852939994214857,0.010557215091019787
l5,Layer V,1,Pvalb,0.012945804602616158,0.1259305255432955
l5,Layer V,1,Sst,0.00740858462545475,0.0720671278498176
l5,Layer V,1,Vip,0.005765020677683187,0.05607933272543732
l5,Layer V,2,Astro,0.001087351190286218,0.019220671121346282
l5,Layer V,2,Chandelier,0.010514108223944305,0.1858536764497228
l5,Layer V,2,Endo,0.0031663261461533773,0.055969878050268464
l5,Layer V,2,L4 IT,0.001823296082638482,0.032229673976821194
l5,Layer V,2,L5 ET,0.0007430322382390403,0.013134283027722756
l5,Layer V,2,L5 IT,0.0005615640391701868,0.009926542415081025
l5,Layer V,2,L5/6 NP,0.004713856226174712,0.08332494694079984
l5,Layer V,2,L6 CT,0.005088060881092353,0.0899396126242536
l5,Layer V,2,L6 IT,0.004144406501747609,0.07325901242844272
l5,Layer V,2,L6 IT Car3,0.0010316484265660657,0.018236035695754587
l5,Layer V,2,L6b,0.0011653999426623454,0.02060030763092518
l5,Layer V,2,Lamp5,0.000727660050008409,0.012862555018376834
l5,Layer V,2,Lamp5_Lhx6,0.006602452110086042,0.11670889932901844
l5,Layer V,2,Micro-PVM,2.9968526727884496e-05,0.0005297416339575828
l5,Layer V,2,OPC,0.0035942948885843945,0.06353490995713333
l5,Layer V,2,Oligo,0.000761863960002151,0.013467163824553608
l5,Layer V,2,Pvalb,0.004711067208893962,0.08327564660031743
l5,Layer V,2,Sst,0.002985394979154827,0.05277163033826189
l5,Layer V,2,Vip,0.003120216308717703,0.05515481293724224
l5,Layer V,3,Astro,7.486653123213273e-05,0.002118908632511917
l5,Layer V,3,Chandelier,0.00750814102592161,0.21249902422504657
l5,Layer V,3,Endo,0.002286068523786265,0.06470141263183646
l5,Layer V,3,L4 IT,0.0017212781554080548,0.04871644354858161
l5,Layer V,3,L5 ET,0.00017635090513963398,0.004991168271080266
l5,Layer V,3,L5 IT,0.0005319025416858835,0.015054161969100513
l5,Layer V,3,L5/6 NP,0.0024061288193409063,0.06809941695347216
l5,Layer V,3,L6 CT,0.0043219993418495434,0.12232330741704298
l5,Layer V,3,L6 IT,0.001106321110763107,0.031311633026748165
l5,Layer V,3,L6 IT Car3,0.00048234208413754846,0.013651478024724906
l5,Layer V,3,L6b,0.0016861280253290649,0.047721607634154714
l5,Layer V,3,Lamp5,0.0010411876583023023,0.02946819467835479
l5,Layer V,3,Lamp5_Lhx6,0.0004880796038127927,0.013813864070518678
l5,Layer V,3,Micro-PVM,0.00048679030264360817,0.013777373647731194
l5,Layer V,3,OPC,0.001656537312284104,0.04688411701877223
l5,Layer V,3,Oligo,0.0002550332547558116,0.007218074033698034
l5,Layer V,3,Pvalb,0.004101567891581845,0.11608455032275304
l5,Layer V,3,Sst,0.003569335547293657,0.10102105412152573
l5,Layer V,3,Vip,0.0014325319651018102,0.04054420977234604
l5,Layer V,4,Astro,7.915094908636085e-05,0.0006732501527502841
l5,Layer V,4,Chandelier,0.020576833408250072,0.17502451196265814
l5,Layer V,4,Endo,0.0033637286791884137,0.028611543806040703
l5,Layer V,4,L4 IT,0.006892824581050011,0.05862968486972308
l5,Layer V,4,L5 ET,0.006125200901466745,0.0521003536930332
l5,Layer V,4,L5 IT,0.0017151882724647295,0.01458922198358528
l5,Layer V,4,L5/6 NP,0.010468149898823416,0.08904104877764732
l5,Layer V,4,L6 CT,0.008613065543964061,0.07326188453906035
l5,Layer V,4,L6 IT,0.004320026210184432,0.0367457161217171
l5,Layer V,4,L6 IT Car3,0.0015975493705299778,0.013588597106547704
l5,Layer V,4,L6b,0.0020901061699239187,0.017778236577179207
l5,Layer V,4,Lamp5,0.0026942617962991623,0.022917124644058574
l5,Layer V,4,Lamp5_Lhx6,0.011310122480585166,0.09620278437053523
l5,Layer V,4,Micro-PVM,0.003566307986335581,0.030334663377633797
l5,Layer V,4,OPC,0.0070903842049090775,0.0603101075112164
l5,Layer V,4,Oligo,0.0014135010409545789,0.012023100199304377
l5,Layer V,4,Pvalb,0.012660029106444618,0.10768495675822051
l5,Layer V,4,Sst,0.008669999940323345,0.07374616288932763
l5,Layer V,4,Vip,0.004319007451354175,0.03673705065976114
l5,Layer V,5,Astro,0.0021899043642722685,0.024197337451014937
l5,Layer V,5,Chandelier,0.01763205296124073,0.19482528206161628
l5,Layer V,5,Endo,0.003786859006990855,0.04184287988394572
l5,Layer V,5,L4 IT,0.002724804383575661,0.030107712570953002
