,22q,adhd,asd,epilepsy_gge,epilepsy_rtle,epilepsy_ltle,depression,ocd,schizophrenia,bipolar,obesity,schizotypy,parkinson
73,-0.2502891470669455,0.01987411553891212,-0.16209664650627578,-0.048908963403765784,-0.165336388023012,-0.26998271166318033,-0.014868746015753125,-0.014244364917364031,-0.39303885583681997,-0.1880666787656907,-0.2202172405020926,0.008034896868238484,-0.08358596388912147
75,-0.2458467957099998,0.030681942059999977,-0.13047475650999987,-0.05307603249000003,-0.1669993198,-0.3249517418500002,-0.015339226599500018,-0.02838971931099997,-0.41929113570000065,-0.2150252250000001,-0.2214646026499999,0.002574770588409997,-0.10601778371500009
77,-0.151499254585641,0.02539535582871797,-0.13561603376923087,-0.04481050596410254,-0.11260681257435892,-0.27407891876923085,-0.01825128616687179,-0.020775658266666674,-0.42302037415384586,-0.20361854738461538,-0.22423986307692337,0.0012094983332923074,-0.08654472433846153
79,-0.3171810824466666,0.03435513588666668,-0.14627433803333342,-0.044796799706666675,-0.13637214464666667,-0.36891949519999967,-0.009722233795133327,-0.024107060958666687,-0.43582411759999995,-0.21518065506666653,-0.23840939199999994,0.001288353144863333,-0.10716988427666681
81,0.30869195970297,0.015431132663366348,-0.12501076084158408,-0.0932337007920792,-0.10917756762376235,-0.2583247158415842,-0.07762733641584153,-0.08802196340594057,-0.438161655742574,-0.24760768623762394,-0.22394864564356443,-0.0006067022868316836,-0.15888680306930703
83,0.18982050513299473,0.018711807751269023,-0.13320939842639581,-0.08491772880710657,-0.10725863612690348,-0.29238770477157366,-0.06187835884771573,-0.07352601973604057,-0.4390120024873099,-0.24053737553299478,-0.22853686111675128,-0.0011093259578375634,-0.15099209291370558
85,0.24954438628048814,0.02180185065548778,-0.10455663514024405,-0.0975941304207318,-0.1451928002439024,-0.2289154781707318,-0.0749947829817073,-0.08781072953048787,-0.4134749059756097,-0.24054881560975583,-0.20312776067073154,0.0034015485629268266,-0.149376881890244
87,0.11688568388022276,0.02316508548467968,-0.12234062541504186,-0.08624184416991652,-0.12875356513927574,-0.29064239192200564,-0.06133453502228409,-0.06878168458217268,-0.43277787671309276,-0.23669568437325858,-0.2247986504735374,0.0010587823425013945,-0.13674089428969377
89,0.2505971011940299,-0.0028401951388059682,-0.16901914029850754,-0.05937228986567162,-0.08951153179104468,-0.2536216656716417,-0.06967208313432836,-0.0935661345671642,-0.4609792074626868,-0.2606811464179103,-0.2604721467164179,-0.013577267688059705,-0.19417921955223888
91,0.275131728076923,0.0008454619239743603,-0.16013953628205138,-0.04691775649999999,-0.06992099202564107,-0.22269178205128198,-0.055660578974359005,-0.08888826920512824,-0.451399676153846,-0.2524733362820511,-0.23737227025641042,-0.005539627797435901,-0.19202250128205117
93,0.24677062657522134,0.0004074532911504419,-0.15691100070796452,-0.0702347323893805,-0.08991384831858415,-0.25331717203539805,-0.06075174441592928,-0.08158241951327437,-0.43897311513274334,-0.24528479867256647,-0.239388018938053,-0.006571969872566368,-0.18000521097345154
95,0.31477190364485985,0.007855384415887857,-0.14434251336448609,-0.06751083949532706,-0.07966068400000002,-0.23875798345794405,-0.06517606286915895,-0.08935009445794385,-0.4471024513084114,-0.25082692700934567,-0.2293600099999999,-0.0026636302869158888,-0.17843302252336452
