,Astro,Chandelier,Endo,L2/3 IT,L4 IT,L5 ET,L5 IT,L5/6 NP,L6 CT,L6 IT,L6 IT Car3,L6b,Lamp5,Lamp5_Lhx6,Micro-PVM,OPC,Oligo,Pax6,Pvalb,Sncg,Sst,Sst Chodl,VLMC,Vip
99,53.559833550995634,1.925345120697653,0.1442090639149211,213.66887473563585,145.0332607997925,7.541720436045742,106.65197747945592,35.02558488844715,26.368065824514773,43.37109328541509,13.087628197677512,24.417253226698502,9.065525451805868,4.223049349106584,3.384613889932621,9.31788166870594,63.021531447744074,2.8921375294124223,15.206629440464102,4.535175260984985,34.077699374954825,0.00633149754251914,5.39792008157989,16.420076104945775
101,49.31688752829558,1.9672094050536308,0.16893737062047534,209.12539224493406,142.68656822738308,6.967728597720598,102.79827655635374,31.937591975131397,25.526277707794076,41.1625931062163,11.999990130360338,22.388026574255548,8.717497587898249,3.8733076590439457,3.185430052708509,8.854001631314535,58.34481259797582,2.7671670997252713,14.324204353391139,4.362278200643742,32.22668373901587,0.005913225766667186,5.916318611224956,15.86602538648805
103,37.707116397629214,1.831977809000202,0.2565437949495835,199.52137452623387,132.6484872827856,5.67799732473962,93.44941723230916,26.204681844859373,22.737919705899714,35.53410254134875,9.179889230317606,18.23628752579356,7.736349958532351,3.2987592471774554,2.346370569990621,7.325511423816764,44.97508491598268,2.4088588220869727,12.157186569071488,3.912458971688978,27.721010042983757,0.0055876389868006245,6.041829566903917,14.001098903306085
105,56.07429734631894,1.9467533282554277,0.18571978397582115,258.99405223703263,157.2092285971959,8.795231472441552,124.57371140261041,39.53471821887623,27.87835208007321,44.704229039979836,12.37563454037714,27.732894976799873,10.014322927340302,4.650846813578491,2.938566161527186,9.282204972625767,70.66357009590362,3.0567677464906997,16.723787664218214,4.344355546116612,36.792103935110035,0.004114426471985364,11.486675380346814,18.327606192943072
107,55.76481872814495,2.057174950705351,0.19585016452089213,251.1231752395397,152.39584404887583,8.40609020331047,121.67325370119059,36.75951550899877,26.865885100183764,43.43719106238197,11.88117139249621,26.3341312125533,9.934046700380428,4.384079873873294,3.1303788805098782,9.384154534571477,69.3266925909285,3.0796240769078533,16.341189855387743,4.360895050888664,35.82485356382239,0.004112300098889429,11.779794491518196,18.418411358600956
109,35.39790448340292,1.8021031070259002,0.271786904520083,196.51966831659004,130.39888835727808,5.406731169945807,91.18418890855536,25.030910769618206,22.19242613627106,34.4276646573258,8.66391252334137,17.38248839256199,7.51958179442844,3.1807244295535,2.1955460266404336,7.031337410149051,42.19370967261605,2.334054247455284,11.698935942339588,3.8272813544286004,26.789459835733826,0.0056116656138634384,5.91167969879663,13.578616856639746
111,39.28453471215739,1.516468782354001,0.2739376665118487,193.01876365861406,117.32214364070782,6.706452147454398,93.87208229208275,29.84301368367866,24.01039690653183,35.25276648357569,9.420428944693285,22.02355790842722,7.77747952846039,3.5572611336392197,2.3721920708569413,7.493134549868821,42.94083555223326,2.5052387557066473,12.001488762150217,3.892103249561221,28.454580840647825,0.014341624997345625,7.761447667611566,13.65788122195314
113,56.84355999281029,1.9061593524787679,0.23968384422681843,248.87611058395834,149.7246668006243,8.63052955497152,124.47617161930154,38.720096601977275,27.73252872674103,45.56856499518017,12.828560623863643,28.513884998069525,10.039657906673806,4.651346436542249,3.2936100741356644,9.822766584724045,66.90089051491967,3.095732773909955,16.337924277891943,4.656748695008955,37.17247671710546,0.01042051069309305,12.478953623346028,18.362816826792223
115,34.70272192594783,1.7103628624026954,0.2701967047461872,192.92078578276576,125.8623074949815,5.510255611384753,90.14610282646426,25.23380597790588,22.22917175575406,33.90314226955917,8.500434168145416,17.780836743800013,7.392057549433096,3.1838927992300623,2.140841562305622,6.926305307204268,40.65002642007021,2.3180067480105726,11.461331294675777,3.764958316514952,26.56501093260209,0.007459819929366486,5.843025770252649,13.271649095509936
117,34.53293032847026,1.3961656117210304,0.20094979465990193,160.06536485593244,104.39145718828556,5.833445906676186,77.27862534698131,24.288437269428712,22.22413087436088,31.811061858329012,10.07764864197006,17.73998073443802,6.581531934317613,3.1177901490469933,2.5491376679069475,7.28846557393324,33.95056628923094,2.118416472467803,9.843917211791483,3.574285068975945,24.147611091302952,0.007348027181271017,5.046022645440144,10.802768129959075
119,52.14809289552276,1.3334701269929605,0.1353824508733053,289.51395082631814,185.77154150468252,10.053447884470275,133.75339473591734,53.738441447863494,33.56231501746473,51.13535971286282,15.189537034626726,33.61843133395615,9.730006386941229,5.89054099987466,1.7808955308122048,8.0487077197257,71.22559983302912,2.586915199219293,17.424587820570085,4.116194009482301,40.00867900598268,0.004728466600017871,9.217747474159342,16.294863866175774
