branch,layer,ctype,correlation,p_value,reject_H0,p_adjusted
within_layer__clr_false__thickness_relative,l4,L5 IT,0.23271962644800262,0.4645354645354645,False,0.7956254272043746
within_layer__clr_false__thickness_relative,l4,L5/6 NP,0.6487216495527641,0.006993006993006993,False,0.07536907536907536
within_layer__clr_false__thickness_relative,l4,Lamp5,0.4670563846322956,0.08091908091908091,False,0.36233331885505804
within_layer__clr_false__thickness_relative,l4,Lamp5_Lhx6,0.6170436703879112,0.012987012987012988,False,0.125974025974026
within_layer__clr_false__thickness_relative,l4,Micro-PVM,-0.15594017149654912,0.5994005994005994,False,0.8305979734551163
within_layer__clr_false__thickness_relative,l4,OPC,0.31262778920538453,0.24775224775224775,False,0.6495126495126495
within_layer__clr_false__thickness_relative,l4,Oligo,0.5117795740298662,0.057942057942057944,False,0.3606948606948607
within_layer__clr_false__thickness_relative,l4,Pax6,0.49501369920322974,0.06393606393606394,False,0.3606948606948607
within_layer__clr_false__thickness_relative,l4,Pvalb,0.3444904942751055,0.3386613386613387,False,0.7598083734447371
within_layer__clr_false__thickness_relative,l4,Sncg,0.18221761626718336,0.5194805194805194,False,0.8259125489894722
within_layer__clr_false__thickness_relative,l4,Sst,0.2289134955731657,0.5364635364635365,False,0.8259125489894722
within_layer__clr_false__thickness_relative,l4,Vip,0.2722876662804684,0.44955044955044954,False,0.7956254272043746
within_layer__clr_false__thickness_relative,l5,Astro,0.28132298214514523,0.24675324675324675,False,0.6495126495126495
within_layer__clr_false__thickness_relative,l5,Chandelier,0.4809611884298379,0.08591408591408592,False,0.36233331885505804
within_layer__clr_false__thickness_relative,l5,Endo,0.002187902208266278,0.985014985014985,False,0.995004995004995
within_layer__clr_false__thickness_relative,l5,L4 IT,0.21579932826707243,0.5344655344655345,False,0.8259125489894722
within_layer__clr_false__thickness_relative,l5,L5 ET,0.4298034970874,0.15684315684315683,False,0.5433495076352219
within_layer__clr_false__thickness_relative,l5,L5 IT,-0.31810785092325355,0.27172827172827174,False,0.6758369835292912
within_layer__clr_false__thickness_relative,l5,L5/6 NP,-0.23607955884471465,0.45454545454545453,False,0.7956254272043746
within_layer__clr_false__thickness_relative,l5,L6 CT,0.1796118931829792,0.5474525474525475,False,0.8259125489894722
within_layer__clr_false__thickness_relative,l5,L6 IT,-0.15856144922789586,0.4565434565434565,False,0.7956254272043746
within_layer__clr_false__thickness_relative,l5,L6 IT Car3,-0.21710410812755204,0.4385614385614386,False,0.7956254272043746
within_layer__clr_false__thickness_relative,l5,L6b,-0.0851897320327428,0.6673326673326674,False,0.8581024238918976
within_layer__clr_false__thickness_relative,l5,Lamp5,0.23936948918318612,0.4935064935064935,False,0.8253470667263771
within_layer__clr_false__thickness_relative,l5,Lamp5_Lhx6,-0.060224539506336064,0.8741258741258742,False,0.963525111252384
within_layer__clr_false__thickness_relative,l5,Micro-PVM,0.3426163096693439,0.16383616383616384,False,0.5480037204175136
within_layer__clr_false__thickness_relative,l5,OPC,0.45202959990481495,0.08591408591408592,False,0.36233331885505804
within_layer__clr_false__thickness_relative,l5,Oligo,0.04439751757632981,0.8981018981018981,False,0.9711843711843712
within_layer__clr_false__thickness_relative,l5,Pvalb,0.2575696834834973,0.1998001998001998,False,0.6056443556443557
within_layer__clr_false__thickness_relative,l5,Sst,0.14771997661279074,0.5354645354645354,False,0.8259125489894722
within_layer__clr_false__thickness_relative,l5,Vip,0.42445443991311027,0.1088911088911089,False,0.4137016829324522
within_layer__clr_false__thickness_relative,l6,Astro,0.6961507506855696,0.004995004995004995,False,0.06921649778792636
within_layer__clr_false__thickness_relative,l6,Chandelier,0.7737150703869827,0.000999000999000999,False,0.0646020646020646
within_layer__clr_false__thickness_relative,l6,Endo,0.44026031852224956,0.09290709290709291,False,0.3754995004995005
within_layer__clr_false__thickness_relative,l6,L5 ET,-0.35702598937521396,0.26373626373626374,False,0.6732215153267785
within_layer__clr_false__thickness_relative,l6,L5 IT,-0.7280857193051432,0.003996003996003996,False,0.0646020646020646
within_layer__clr_false__thickness_relative,l6,L5/6 NP,-0.15638612875043267,0.6853146853146853,False,0.860014985014985
within_layer__clr_false__thickness_relative,l6,L6 CT,-0.608511369983206,0.001998001998001998,False,0.0646020646020646
within_layer__clr_false__thickness_relative,l6,L6 IT,-0.553652042996571,0.1928071928071928,False,0.603299925880571
within_layer__clr_false__thickness_relative,l6,L6 IT Car3,0.07454925967188035,0.8101898101898102,False,0.9448051948051949
within_layer__clr_false__thickness_relative,l6,L6b,-0.08768007276918065,0.7402597402597403,False,0.8864838864838864
within_layer__clr_false__thickness_relative,l6,Lamp5,0.6290853402152958,0.003996003996003996,False,0.0646020646020646
within_layer__clr_false__thickness_relative,l6,Lamp5_Lhx6,0.645039841429572,0.024975024975024976,False,0.22023431114340206
within_layer__clr_false__thickness_relative,l6,Micro-PVM,0.7240542935458649,0.005994005994005994,False,0.07267732267732267
within_layer__clr_false__thickness_relative,l6,OPC,0.7669530515228389,0.003996003996003996,False,0.0646020646020646
within_layer__clr_false__thickness_relative,l6,Oligo,0.47158209527198275,0.05194805194805195,False,0.3606948606948607
within_layer__clr_false__thickness_relative,l6,Pvalb,0.4632358826625424,0.04795204795204795,False,0.3606948606948607
within_layer__clr_false__thickness_relative,l6,Sst,0.3925673519319462,0.3436563436563437,False,0.7598083734447371
within_layer__clr_true__thickness_absolute,l1,Astro,-0.4613513993887188,0.2087912087912088,False,0.4050549450549451
within_layer__clr_true__thickness_absolute,l1,Endo,0.18226279775141044,0.5114885114885115,False,0.6796491180052824
within_layer__clr_true__thickness_absolute,l1,Lamp5,-0.17731744335965932,0.7452547452547452,False,0.9128032461365794
within_layer__clr_true__thickness_absolute,l1,Micro-PVM,0.5061504155192811,0.19080919080919082,False,0.3937976916700321
within_layer__clr_true__thickness_absolute,l1,OPC,-0.3468949792056083,0.12987012987012986,False,0.32301032301032295
within_layer__clr_true__thickness_absolute,l1,Pax6,-0.34606677645503586,0.2947052947052947,False,0.5015160278318173
within_layer__clr_true__thickness_absolute,l1,Sncg,0.2773821125749454,0.5504495504495505,False,0.711914751914752
within_layer__clr_true__thickness_absolute,l1,VLMC,-0.3633792384596383,0.26173826173826176,False,0.46028971028971033
within_layer__clr_true__thickness_absolute,l2,Astro,-0.05471750275412014,0.8631368631368631,False,0.952513395695214
within_layer__clr_true__thickness_absolute,l2,Chandelier,0.06628782622526971,0.8771228771228772,False,0.9559653829316752
within_layer__clr_true__thickness_absolute,l2,Endo,-0.0018172287314671264,0.99000999000999,False,0.99000999000999
within_layer__clr_true__thickness_absolute,l2,L2/3 IT,-0.4038080649262989,0.2057942057942058,False,0.4050549450549451
within_layer__clr_true__thickness_absolute,l2,Lamp5,-0.08753975874350058,0.8121878121878122,False,0.9496503496503497
within_layer__clr_true__thickness_absolute,l2,Lamp5_Lhx6,-0.309838307113569,0.26573426573426573,False,0.46028971028971033
within_layer__clr_true__thickness_absolute,l2,Micro-PVM,0.4756523345542392,0.11188811188811189,False,0.2856091277143909
within_layer__clr_true__thickness_absolute,l2,OPC,0.028619089837103102,0.9330669330669331,False,0.9628456649733246
within_layer__clr_true__thickness_absolute,l2,Pax6,0.6584909521871629,0.000999000999000999,True,0.013843299557585273
within_layer__clr_true__thickness_absolute,l2,Pvalb,-0.4385247105432439,0.14385614385614387,False,0.3403425842450233
within_layer__clr_true__thickness_absolute,l2,Sncg,0.555288604126588,0.013986013986013986,False,0.07536907536907536
within_layer__clr_true__thickness_absolute,l2,Sst,-0.366986264637424,0.22477522477522477,False,0.41929224621532313
within_layer__clr_true__thickness_absolute,l2,Vip,-0.07433792271513352,0.8631368631368631,False,0.952513395695214
within_layer__clr_true__thickness_absolute,l3,Astro,0.2905529341472497,0.3026973026973027,False,0.5062351441661787
within_layer__clr_true__thickness_absolute,l3,Chandelier,0.2630877342843294,0.3626373626373626,False,0.5583464154892726
within_layer__clr_true__thickness_absolute,l3,Endo,0.18553701632362637,0.4155844155844156,False,0.6031133046058419
within_layer__clr_true__thickness_absolute,l3,L2/3 IT,-0.21616598857952635,0.4435564435564436,False,0.6235503626807974
within_layer__clr_true__thickness_absolute,l3,L4 IT,-0.519865343452803,0.006993006993006993,True,0.048451548451548455
within_layer__clr_true__thickness_absolute,l3,L5 ET,-0.2502338956782906,0.4095904095904096,False,0.6031133046058419
within_layer__clr_true__thickness_absolute,l3,L5 IT,-0.48908556029619826,0.04095904095904096,False,0.1737572772055531
within_layer__clr_true__thickness_absolute,l3,L5/6 NP,-0.33469722885209946,0.22377622377622378,False,0.41929224621532313
within_layer__clr_true__thickness_absolute,l3,L6 CT,-0.3593466390296314,0.14385614385614387,False,0.3403425842450233
within_layer__clr_true__thickness_absolute,l3,L6 IT,-0.5857183381563033,0.002997002997002997,True,0.026428117337208245
within_layer__clr_true__thickness_absolute,l3,L6 IT Car3,-0.21567402088363882,0.4165834165834166,False,0.6031133046058419
within_layer__clr_true__thickness_absolute,l3,L6b,-0.2637088065510828,0.3356643356643357,False,0.5353498960056337
within_layer__clr_true__thickness_absolute,l3,Lamp5,0.07403667747562763,0.8321678321678322,False,0.9496503496503497
within_layer__clr_true__thickness_absolute,l3,Lamp5_Lhx6,-0.266227855456036,0.3356643356643357,False,0.5353498960056337
within_layer__clr_true__thickness_absolute,l3,Micro-PVM,0.424805494038473,0.0899100899100899,False,0.24225774225774224
within_layer__clr_true__thickness_absolute,l3,OPC,0.058493726514235934,0.8641358641358642,False,0.952513395695214
within_layer__clr_true__thickness_absolute,l3,Oligo,-0.09626193139787666,0.7542457542457542,False,0.9128032461365794
within_layer__clr_true__thickness_absolute,l3,Pax6,0.41892509110334863,0.06693306693306693,False,0.2164169164169164
within_layer__clr_true__thickness_absolute,l3,Pvalb,-0.4454042547665038,0.04495504495504495,False,0.1737572772055531
within_layer__clr_true__thickness_absolute,l3,Sncg,0.28983166425901713,0.15084915084915085,False,0.3470483005366727
within_layer__clr_true__thickness_absolute,l3,Sst,-0.10531706202434452,0.7622377622377622,False,0.9128032461365794
within_layer__clr_true__thickness_absolute,l3,Vip,0.3589705801298421,0.24675324675324675,False,0.445036445036445
within_layer__clr_true__thickness_absolute,l4,Astro,-0.35972137337940796,0.15384615384615385,False,0.3470483005366727
within_layer__clr_true__thickness_absolute,l4,Chandelier,-0.20437289672736103,0.46653346653346656,False,0.637376707799243
within_layer__clr_true__thickness_absolute,l4,Endo,0.021031067271509506,0.9070929070929071,False,0.9574447291838597
within_layer__clr_true__thickness_absolute,l4,L2/3 IT,0.3660537183695791,0.04895104895104895,False,0.1737572772055531
within_layer__clr_true__thickness_absolute,l4,L4 IT,0.43061316717763726,0.1978021978021978,False,0.3997252747252747
within_layer__clr_true__thickness_absolute,l4,L5 ET,-0.1332256461779779,0.7502497502497503,False,0.9128032461365794
within_layer__clr_true__thickness_absolute,l4,L5 IT,-0.26574322447644166,0.1048951048951049,False,0.27499527499527504
within_layer__clr_true__thickness_absolute,l4,L5/6 NP,0.4859544958181216,0.05194805194805195,False,0.1737572772055531
within_layer__clr_true__thickness_absolute,l4,Lamp5,0.20695045014949903,0.42857142857142855,False,0.6113445378151261
within_layer__clr_true__thickness_absolute,l4,Lamp5_Lhx6,0.43136711564499497,0.05194805194805195,False,0.1737572772055531
within_layer__clr_true__thickness_absolute,l4,Micro-PVM,-0.4863894200248913,0.030969030969030968,False,0.15810505284189494
